Date,Open,High,Low,Close,Volume,EMA_20,EMA_50,MACD,MACD_signal,MACD_diff,RSI,BB_upper,BB_mid,BB_lower,BB_pband,ATR,Trailing_Stop,Signal,Signal_Label
2018-03-14,79.8499984741211,80.3219985961914,79.54450225830078,79.55000305175781,85188000,75.9213911594416,71.40116440739293,2.5932505649349338,2.4440664455247045,0.14918411941022924,73.19385973679006,80.42339847814786,75.88190040588378,71.3404023336197,0.9038428055574806,1.7010379215774691,75.12433212280273,0,HOLD
2018-03-15,79.75,79.84549713134766,78.90550231933594,79.11599731445312,81394000,76.22563936468079,71.70370687433646,2.533738273575878,2.4620008111349394,0.07173746244093859,70.2817636637674,80.68995280925277,76.21007537841797,71.73019794758316,0.8243305180666127,1.64667769946563,75.12433212280273,0,HOLD
2018-03-16,79.17250061035156,79.47200012207031,78.375,78.58399963378906,108500000,76.45024510459587,71.97352227666795,2.415798762816223,2.4527604014711963,-0.03696163865497315,66.77471306831059,80.8374460543691,76.48487548828125,72.1323049221934,0.7411361416932222,1.6074150153659645,75.12433212280273,0,HOLD
2018-03-19,77.72650146484375,78.08300018310547,76.26750183105469,77.24649810791016,131616000,76.52607872395913,72.18030564259902,2.1891702635718246,2.4000423738913224,-0.2108721103194977,58.82694949916034,80.66859914741788,76.7254753112793,72.78235147514071,0.5660672626935661,1.6580637858922795,75.12433212280273,0,HOLD
2018-03-20,77.51699829101562,79.3499984741211,77.27050018310547,79.32550048828125,91632000,76.79269032056123,72.46050936203754,2.1525108570302223,2.3505360705191025,-0.19802521348888025,65.66740369815511,80.81068674365692,77.02087516784668,73.23106359203645,0.8040553962028911,1.6898806844864696,75.12433212280273,0,HOLD
2018-03-21,79.32250213623047,79.5,78.15850067138672,79.09300231933594,95016000,77.01176765377788,72.72060712506887,2.0807121990315665,2.2965712962215954,-0.21585909719002894,64.37925187141454,80.91839068988806,77.26822509765626,73.61805950542445,0.7499581423871743,1.664996301924099,75.12433212280273,0,HOLD
2018-03-22,78.27349853515625,78.69249725341797,77.12000274658203,77.24600219726562,126412000,77.03407570553863,72.89807359848834,1.8534088281947305,2.2079388026162228,-0.35452997442149226,55.1276167500203,80.79853456262038,77.41717529296875,74.03581602331712,0.47468871509167365,1.6869965355547996,75.12433212280273,0,HOLD
2018-03-23,76.95050048828125,77.45099639892578,74.76799774169922,74.77799987792969,160120000,76.81921134100445,72.97179619768211,1.457322995618327,2.0578156412166435,-0.6004926455983166,45.68108652769254,80.82039802568161,77.40607528686523,73.99175254804885,0.11513957379339594,1.7581395442456398,75.12433212280273,-1,SELL
2018-03-26,76.5,77.84950256347656,74.9625015258789,77.79299926757812,112494000,76.91195304829718,73.16086298473687,1.3709044399749502,1.920433400968305,-0.5495289609933549,55.67392234637514,80.85482432465965,77.49085006713867,74.12687580961769,0.5449095589486054,1.851951197195728,75.12433212280273,0,HOLD
2018-03-27,78.62000274658203,78.79850006103516,74.11599731445312,74.85250091552734,139992000,76.71581474993815,73.2272017271208,1.0530050826551616,1.7469477373056765,-0.693942654650515,46.65848662603814,80.91576538822423,77.45352516174316,73.99128493526209,0.12437264948835944,2.054133450723321,75.12433212280273,-1,SELL
