Date,Open,High,Low,Close,Volume,EMA_20,EMA_50,MACD,MACD_signal,MACD_diff,RSI,BB_upper,BB_mid,BB_lower,BB_pband,ATR,Trailing_Stop,Signal,Signal_Label
2018-03-14,51.597964022395,51.70165873567065,50.830630527940286,50.87902069091797,14820700,52.612427411808774,54.660517619416225,-1.156066974622533,-1.2326968599685695,0.07662988534603654,34.61364802750387,54.0898923583075,52.35942420959473,50.628956060881954,0.07225346222697819,1.1230211533315893,57.29302940368652,-1,SELL
2018-03-15,51.397486914165576,51.84682713751712,51.22466415704052,51.44587707519531,15640600,52.50132737975035,54.53445328434874,-1.1115453448101178,-1.208466556936879,0.0969212121267613,39.18738502687089,54.047378896265435,52.28891220092773,50.53044550559003,0.2602925526063145,1.1119343885649864,57.29302940368652,-1,SELL
2018-03-16,51.40441910058097,51.929801940917976,51.40441910058097,51.92980194091797,32109700,52.44689638557583,54.43231009441028,-1.0253928496024471,-1.1718518154699926,0.14645896586754548,42.86189549094254,54.00657559483297,52.25123748779297,50.495899380752974,0.4084405603724305,1.0700378494058451,57.29302940368652,-1,SELL
2018-03-19,51.84684332907466,51.85375771827595,51.05877173240341,51.25924682617188,12744800,52.33378690372784,54.30787624075388,-0.9997006434268769,-1.1374215810613695,0.13772093763449256,39.31682051730726,53.9472677829588,52.16862888336182,50.38998998376484,0.24436012352029562,1.0558230179136106,57.29302940368652,-1,SELL
2018-03-20,51.30763133883774,51.63944814600214,51.12097976994134,51.14863204956055,13003200,52.22091501285477,54.183984311687475,-0.9770027929229599,-1.1053378234336877,0.1283350305107278,38.74749450481685,53.937849187349606,52.107795524597165,50.277741861844724,0.237941161355341,1.0174405434955525,57.29302940368652,-1,SELL
2018-03-21,51.31453713649141,52.2892547777549,51.141714373404135,51.87448120117188,15418500,52.18792131650402,54.093415562255494,-0.8901831453292672,-1.0623068878128037,0.17212374248353646,44.43357500403116,53.93977006437966,52.11298027038574,50.28619047639182,0.4347218081691744,1.0267333906994962,57.29302940368652,-1,SELL
2018-03-22,51.44588881674251,51.63944950503801,50.73385973874128,50.80990219116211,17737000,52.05668139980479,53.96465033201654,-0.896941198351179,-1.029233749920479,0.13229255156929987,38.75164935433929,53.93629237525843,52.03140830993652,50.126524244614615,0.1793752068664635,1.0348682529660038,57.29302940368652,-1,SELL
2018-03-23,51.024196873630544,51.30071438184474,50.23612540340641,50.38821029663086,20157300,51.897779389978695,53.824397781609264,-0.9256536565691178,-1.0085177312502067,0.08286407468108892,36.74713219148876,53.76212478242319,51.87102832794189,49.97993187346059,0.10794754075149776,1.0369911619283128,57.29302940368652,-1,SELL
2018-03-26,50.91358964055119,51.25923518424246,50.2914266070804,51.155540466308594,15032700,51.82708996867678,53.719736710421,-0.8763888891408627,-0.982091962828338,0.10570307368747534,42.56869973070908,53.18121149643183,51.703736305236816,50.226261114041804,0.31448221865409776,1.0320495487307233,57.29302940368652,-1,SELL
2018-03-27,51.1555438992481,51.770792586376,50.65781343906984,50.94815444946289,15821900,51.74338182398974,53.61104720999128,-0.8443474129936988,-0.9545430528614103,0.11019563986771153,41.4581163618388,52.808408338110425,51.57239112854004,50.336373918969656,0.24748058755018373,1.0378302343432542,57.29302940368652,-1,SELL
2018-03-28,50.97579031526773,51.162441814805646,50.31215167340969,50.332889556884766,18163900,51.609049227122604,53.48249200790867,-0.8587024597166106,-0.9353749342324504,0.0766724745158398,38.268289037594506,52.76356771297635,51.471116638183595,50.178665563390844,0.059663377787299264,1.0244345134184474,57.29302940368652,-1,SELL
2018-03-29,50.69238054578401,51.7707930361167,50.6439903769648,51.57723236083984,14882900,51.60601904938139,53.40777594331773,-0.7608996947570432,-0.9004798863373691,0.13958019158032586,47.128460969854636,52.72280235075808,51.45072364807129,50.1786449453845,0.5497251909419383,1.0539680109765537,57.29302940368652,-1,SELL
2018-04-02,51.34218546709914,51.43205668167676,49.88356616106627,50.6163330078125,17891100,51.511763235898634,53.298307592905765,-0.7522553151042075,-0.8708349720907369,0.11857965698652939,42.10306702037437,52.639419916194136,51.370188331604005,50.100956747013875,0.2030268814044106,1.099660738747769,57.29302940368652,-1,SELL
2018-04-03,50.77532243709643,51.943605928549125,50.5333716390792,51.86064910888672,15999200,51.5449904618975,53.24192882882659,-0.6376482595628303,-0.8241976295851556,0.1865493700223253,49.598065719773125,52.46038706920575,51.326981735229495,50.19357640125324,0.735426531735558,1.1218445637993517,57.29302940368652,-1,SELL
2018-04-04,51.19010715623182,51.88830735746611,50.768419170784505,51.75696563720703,13122200,51.565178573831744,53.18369497817484,-0.5488608062719535,-0.7691302649225152,0.2202694586505617,49.02852040456796,52.25977555697671,51.28170185089111,50.30362814480551,0.7429590854752642,1.1217048225766557,57.29302940368652,-1,SELL
2018-04-05,51.888302172950304,52.75933033321973,51.86064989930805,52.55194091796875,14200000,51.65915593994003,53.15892030914715,-0.40962633122520486,-0.6972294781830533,0.2876031469578484,53.442979536959065,52.46679085822759,51.34253425598145,50.218277653735306,1.0378694950828127,1.1131805278220874,57.29302940368652,-1,SELL
2018-04-06,52.28925745414265,52.62107949687244,51.30762537535453,51.75696563720703,14299600,51.668471149203555,53.103941694561264,-0.35928821697612534,-0.6296412259416677,0.2703530089655424,48.883673176328145,52.50575760479546,51.36845798492432,50.231158365053176,0.6708026827296092,1.127485784514646,57.29302940368652,-1,SELL
2018-04-09,51.99891646308686,52.392952172128986,51.708575472031065,51.75696563720703,11103100,51.67689919568008,53.05111910407678,-0.31575507086101595,-0.5668639949255373,0.25110892406452134,48.883673176328145,52.52682720869723,51.379173278808594,50.23151934891996,0.6645933275526263,1.0958351356277372,57.29302940368652,-1,SELL
2018-04-10,52.59342861018736,53.76170699291533,52.579599834553136,53.27780532836914,19006100,51.829366446412365,53.060008759931385,-0.15672901155150498,-0.48483699825073084,0.32810798669922586,57.019138669498254,52.83590636764652,51.442426681518555,50.04894699539059,1.1585595273191651,1.1607570084906342,57.29302940368652,-1,SELL
2018-04-11,53.305451814962616,53.94835268466891,53.0565866219065,53.52666473388672,13734000,51.991013902362305,53.07830899420414,-0.010497827190221187,-0.3899691640386289,0.3794713368484077,58.19171316973334,53.20673770081002,51.542663955688475,49.878590210566934,1.0961276608126929,1.1415433695100472,57.29302940368652,-1,SELL
2018-04-12,53.82391074641193,54.01747135760946,53.23631452695342,53.38148498535156,13270400,52.12343971978986,53.090198248758945,0.09260910742269601,-0.29345350974636397,0.38606261716906,57.211134249459995,53.48291422739676,51.66778717041016,49.85266011342355,0.9720600159490796,1.1158014738776179,57.29302940368652,-1,SELL
2018-04-13,53.78244973793446,54.05205284524589,53.644188353330826,53.810096740722656,10925000,52.28407372178346,53.11842956216928,0.20652677049748291,-0.1934574536975946,0.3999842241950775,59.38698624008993,53.82237732458644,51.78599815368652,49.7496189827866,0.9969847010715698,1.0839990728788114,57.29302940368652,-1,SELL
